timestamp, event
126.357, Level: Loadout; User began game from beginning
126.898, Level: Intro; Loaded
140.801, Level: 1; Loaded
150.046, Level: 1; Started
172.363, Level: 1; 1 gate passed
242.228, Level: 1; 2 gate passed
314.569, Level: 1; 3 gate passed
371.664, Level: 1; 4 gate passed
420.549, Level: 1; 5 gate passed
478.358, Level: 1; 6 gate passed
478.361, Level: 1; Survey started
491.291, Level: 1; Survey saved
491.85, Level: 2; Loaded
499.565, Level: 2; Started
515.986, Level: 2; 1 gate passed
595.125, Level: 2; 2 gate passed
672.295, Level: 2; 3 gate passed
797.163, Level: 2; 4 gate passed
869.665, Level: 2; 5 gate passed
939.755, Level: 2; 6 gate passed
939.758, Level: 2; Survey started
967.039, Level: 2; Survey saved
967.59, Level: 3; Loaded
90.129, Level: Loadout; Testbed application loaded
138.071, Level: Loadout; User began game from specific level
141.819, Level: 3; Loaded
158.267, Level: 3; Started
175.334, Level: 3; 1 gate passed
248.425, Level: 3; 2 gate passed
293.471, Level: 3; 3 gate passed
387.25, Level: 3; 4 gate passed
453.795, Level: 3; 5 gate passed
518.127, Level: 3; 6 gate passed
518.13, Level: 3; Survey started
531.369, Level: 3; Survey saved
531.923, Level: 4; Loaded
564.31, Level: 4; Started
581.333, Level: 4; 1 gate passed
651.719, Level: 4; 2 gate passed
782.57, Level: 4; 3 gate passed
872.795, Level: 4; 4 gate passed
943.31, Level: 4; 5 gate passed
996.615, Level: 4; 6 gate passed
996.619, Level: 4; Survey started
1019.835, Level: 4; Survey saved
1020.441, Level: 5; Loaded
1025.429, Level: 5; Started
1040.855, Level: 5; 1 gate passed
1132.365, Level: 5; 2 gate passed
1207.906, Level: 5; 3 gate passed
1294.08, Level: 5; Researcher skipped to survey
1294.084, Level: 5; Survey started
1307.895, Level: 5; Survey saved
1308.448, Level: 6; Loaded
1319.924, Level: 6; Started
1345.521, Level: 6; 1 gate passed
1422.06, Level: 6; 2 gate passed
1488.686, Level: 6; 3 gate passed
1544.381, Level: 6; 4 gate passed
1643.616, Level: 6; 5 gate passed
1767.899, Level: 6; 6 gate passed
1767.902, Level: 6; Survey started
1781.522, Level: 6; Survey saved
